generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,16.04093010681705,18.26869612034852,1.4772291491378788,12,12.56,12.131578947368421,,,3.5,6.5,9.5,12.5,16.0,9.0,11.0,11.0,13.0,19.0
1,200,100,15.794996871087637,17.138779426788304,0.8842550347438058,8,8.41,7.481578947368421,7,100,2.5,6.0,8.5,12.0,15.5,7.0,8.5,12.5,12.5,18.5
2,300,100,15.73622914957372,17.192460680591175,0.9338707711716852,14,6.92,6.160526315789474,9,100,2.5,6.0,8.5,12.0,15.5,12.5,13.5,13.0,16.5,15.5
3,400,100,14.727566688249707,16.882432950197934,0.9595991574726119,12,6.74,5.002631578947368,12,100,2.5,6.0,8.5,11.5,15.0,10.5,11.5,12.5,15.0,15.0
4,500,100,14.660107523773828,16.768167693329342,1.0800438924583866,12,6.86,5.521052631578947,7,100,2.5,6.0,8.5,12.0,15.0,10.5,11.5,12.0,15.0,15.0
5,600,100,14.526649916142159,16.675481055245807,1.113384975460097,13,6.95,6.113157894736842,12,100,2.5,6.5,8.5,12.0,14.5,11.5,12.5,12.5,15.0,14.5
6,700,100,14.366190378969058,16.50439634531127,1.0772369788993854,13,7.11,5.25,10,100,3.5,6.5,8.5,11.5,14.5,11.5,13.0,12.5,14.5,14.5
7,800,100,14.366190378969058,16.62497727592039,0.9105606148861689,13,6.99,4.355263157894737,10,100,2.5,6.5,8.5,11.5,14.5,11.5,13.0,12.5,14.5,14.5
8,900,100,14.366190378969058,16.531750089728654,1.0064414617814939,13,7.25,5.331578947368421,13,100,2.0,6.5,8.5,11.0,14.0,11.5,13.0,12.5,14.5,14.5
9,1000,100,14.366190378969058,16.735597984193177,0.9767939197581802,13,7.47,5.963157894736842,7,100,2.0,6.0,8.5,11.0,13.5,11.5,13.0,12.5,14.5,14.5
10,1100,100,14.366190378969058,16.983946487860884,0.8535386283842678,13,6.85,4.971052631578948,6,100,2.0,6.5,8.5,11.0,14.0,11.5,13.0,12.5,14.5,14.5
11,1200,100,14.366190378969058,16.86687400312567,1.0179459250177345,13,7.04,5.473684210526316,9,100,1.5,6.5,9.0,11.0,13.5,11.5,13.0,12.5,14.5,14.5
12,1300,100,14.366190378969058,16.919643233901,0.8279846190605916,13,6.9,5.105263157894737,9,100,2.0,6.5,8.0,11.0,13.5,11.5,13.0,12.5,14.5,14.5
13,1400,100,14.366190378969058,16.54235903475136,0.945371585156886,13,8.4,6.257894736842105,8,100,2.0,6.0,8.0,11.0,13.0,11.5,13.0,12.5,14.5,14.5
