generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.641311123146739,18.120017624935855,1.4097428600365611,14,10.2,10.763157894736842,,,3.5,6.5,9.0,11.5,17.5,10.5,11.5,14.0,12.5,17.5
1,200,100,14.639071942966531,17.274366396262334,1.0371602841924177,14,8.29,8.471052631578948,56,102,4.0,4.5,9.0,11.0,15.5,10.5,11.0,13.0,13.0,16.0
2,300,100,13.9,16.962595455781457,1.0096709248078932,14,7.78,6.676315789473684,61,100,4.0,6.0,8.5,11.0,15.0,10.5,11.0,12.0,13.0,15.0
3,400,100,13.9,16.628282988136473,0.9044667926466303,14,8.19,6.497368421052632,55,100,3.5,6.5,8.5,12.0,15.0,10.5,11.0,12.0,13.0,15.0
4,500,100,13.9,16.536996639075397,0.8659211110676873,14,7.86,6.38421052631579,61,100,3.5,4.5,8.5,12.0,15.0,10.5,11.0,12.0,13.0,15.0
5,600,100,13.9,16.4189296214062,0.8228543551696408,14,8.31,6.168421052631579,56,100,4.0,6.0,9.0,12.5,15.0,10.5,11.0,12.0,13.0,15.0
6,700,100,13.9,16.295541699835013,0.8406200035840545,14,8.4,6.7368421052631575,56,100,4.0,5.0,8.5,11.0,15.0,10.5,11.0,12.0,13.0,15.0
7,800,100,13.9,16.254901835482627,0.8261821812321213,14,8.71,7.918421052631579,55,100,4.5,6.0,9.0,12.0,15.0,10.5,11.0,12.0,13.0,15.0
8,900,100,13.9,16.44675511380804,0.783321468572756,14,8.42,7.0394736842105265,58,100,4.0,6.0,8.5,12.5,15.0,10.5,11.0,12.0,13.0,15.0
9,1000,100,13.9,16.534849494425576,0.8971317449101469,14,8.11,7.260526315789473,55,100,4.0,6.5,9.0,12.0,15.0,10.5,11.0,12.0,13.0,15.0
10,1100,100,13.9,16.442714821740722,0.8466383171212929,14,8.11,6.25,57,100,4.0,5.5,8.5,12.0,15.0,10.5,11.0,12.0,13.0,15.0
11,1200,100,13.9,16.32960206794026,0.7262535888907258,14,8.23,7.007894736842105,55,100,4.0,6.0,8.0,11.0,15.0,10.5,11.0,12.0,13.0,15.0
12,1300,100,13.693737745050923,16.351651576151284,0.8376704965741467,14,8.04,7.405263157894737,60,100,4.0,5.5,9.0,12.0,15.0,11.5,10.5,11.0,12.5,15.0
13,1400,100,13.693737745050923,16.364215579776204,0.8783163493844358,14,8.19,6.373684210526315,61,100,3.0,6.0,8.5,11.5,15.0,11.5,10.5,11.0,12.5,15.0
14,1500,100,13.693737745050923,16.41506067753618,0.8590953182817155,14,8.24,7.089473684210526,59,100,4.0,6.0,7.5,12.0,15.0,11.5,10.5,11.0,12.5,15.0
15,1600,100,13.693737745050923,16.27974915967069,0.9010163950067035,14,8.51,6.205263157894737,46,100,4.5,5.5,7.0,11.5,15.0,11.5,10.5,11.0,12.5,15.0
16,1700,100,13.693737745050923,16.367553741037007,0.9369796522820277,14,8.31,6.457894736842105,58,100,4.0,6.5,8.0,12.0,15.0,11.5,10.5,11.0,12.5,15.0
17,1800,100,13.693737745050923,16.282684705261964,0.8984944476482098,14,8.47,6.631578947368421,55,100,4.5,6.0,8.0,11.5,15.0,11.5,10.5,11.0,12.5,15.0
18,1900,100,13.693737745050923,16.29178435373193,0.886477124581039,14,8.22,6.581578947368421,60,100,4.0,6.0,8.0,12.0,14.0,11.5,10.5,11.0,12.5,15.0
19,2000,100,13.693737745050923,16.389434096418444,0.8399549959991519,14,7.81,5.936842105263158,58,102,4.0,6.5,8.0,12.0,15.0,11.5,10.5,11.0,12.5,15.0
20,2100,100,13.693737745050923,16.382676327207395,0.8038080601846423,14,8.12,6.6078947368421055,58,100,4.5,6.5,8.5,12.5,15.0,11.5,10.5,11.0,12.5,15.0
