generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.641311123146739,18.120017624935855,1.4097428600365611,14,10.2,10.763157894736842,,,3.5,6.5,9.0,11.5,17.5,10.5,11.5,14.0,12.5,17.5
1,200,100,14.811871208194287,16.128503752530843,0.6649281060110286,14,9.94,7.542105263157895,8,100,4.0,7.5,8.0,11.5,16.5,10.5,11.0,13.0,12.5,16.5
2,300,100,14.18910462845192,15.334288409933567,0.7205900083346988,13,12.2,5.197368421052632,8,100,5.5,8.0,9.0,11.0,16.0,9.5,10.0,12.0,12.0,16.0
3,400,100,13.811871208194287,14.880195490129262,0.7471010257371631,13,11.38,4.105263157894737,8,100,6.0,7.0,9.0,11.0,15.0,10.0,9.5,11.5,12.0,15.5
4,500,100,13.380624847486569,14.449166389440407,0.5980516991326527,15,11.95,3.373684210526316,6,100,6.0,7.0,9.5,11.0,14.0,11.0,10.5,12.0,13.0,14.0
5,600,100,13.162049935181331,14.219551756980398,0.7053750073621361,13,12.35,4.442105263157894,9,100,6.0,8.0,9.5,11.0,13.0,10.5,9.5,12.5,11.5,14.0
6,700,100,13.162049935181331,14.195211789032431,0.8594064570862867,13,12.33,4.663157894736842,11,100,5.5,7.0,9.5,11.5,13.0,10.5,9.5,12.5,11.5,14.0
7,800,100,12.878404875209021,13.977573322568249,0.7711356278130421,13,11.97,3.7421052631578946,9,100,6.5,7.5,9.5,11.0,13.0,10.5,9.5,12.0,12.0,13.5
8,900,100,12.878404875209021,13.838696930156743,0.7826602283907407,13,11.69,3.710526315789474,10,100,6.5,7.5,10.0,10.5,13.5,10.5,9.5,12.0,12.0,13.5
9,1000,100,12.82828568570857,13.883670559412346,0.9332535352389405,13,11.54,4.15,8,100,5.5,7.0,9.5,10.5,13.5,10.5,9.5,11.0,12.5,13.5
10,1100,100,12.82828568570857,13.685359507069075,0.7525309471350783,13,11.91,3.344736842105263,9,100,6.0,6.5,9.5,11.0,13.0,10.5,9.5,11.0,12.5,13.5
11,1200,100,12.82828568570857,13.71501770500156,0.9554563480236714,13,11.74,2.610526315789474,9,100,5.5,7.0,8.5,11.0,13.0,10.5,9.5,11.0,12.5,13.5
