generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,14.714674215792776,17.977372810803452,1.5596444294435243,9,11.62,12.95,,,3.5,6.0,8.5,12.5,16.5,8.5,9.0,9.0,12.5,17.5
1,200,100,14.714674215792776,17.269295759283267,1.0989635178624317,9,8.97,8.207894736842105,53,102,3.5,6.0,9.0,12.0,16.0,8.5,9.0,9.0,12.5,17.5
2,300,100,14.714674215792776,16.872456139208367,0.9805110838679449,9,8.65,6.492105263157895,60,100,4.0,6.0,9.0,12.5,16.0,8.5,9.0,9.0,12.5,17.5
3,400,100,14.714674215792776,16.725647802281305,0.8555084969309886,9,8.16,6.731578947368421,58,100,4.0,7.0,9.0,12.0,16.5,8.5,9.0,9.0,12.5,17.5
4,500,100,14.707567081708246,16.48075459413281,0.7248719519570141,9,8.62,6.507894736842105,56,100,4.5,6.5,8.5,12.0,16.0,8.0,9.5,10.0,12.0,17.5
5,600,100,14.579075450674063,16.498996094034634,0.7367609533291761,11,8.18,7.044736842105263,60,100,4.5,5.5,9.0,11.5,16.0,10.5,10.5,10.0,14.0,16.0
6,700,100,14.239071942966532,16.290508329525352,0.696440182322288,11,8.33,5.931578947368421,56,100,4.0,6.5,8.0,12.0,15.5,10.5,11.5,10.5,13.5,15.5
7,800,100,14.239071942966532,16.29468818586612,0.7517681933950988,11,8.11,6.131578947368421,62,100,4.5,6.5,7.0,12.0,15.0,10.5,11.5,10.5,13.5,15.5
8,900,100,14.239071942966532,16.370210644211554,0.7568523809379779,11,8.1,6.247368421052632,54,100,4.0,6.0,9.0,11.5,15.0,10.5,11.5,10.5,13.5,15.5
9,1000,100,14.239071942966532,16.22361844476354,0.7584603510115242,11,8.26,5.586842105263158,57,100,4.0,7.0,8.5,12.0,14.5,10.5,11.5,10.5,13.5,15.5
10,1100,100,14.239071942966532,16.212734217541108,0.7741009849994553,11,8.07,6.3578947368421055,58,100,4.5,5.0,7.5,10.0,15.5,10.5,11.5,10.5,13.5,15.5
11,1200,100,14.107680962081059,16.29162707889567,0.7173701534688436,10,8.26,5.818421052631579,56,100,4.5,6.5,8.5,12.5,15.5,9.0,9.0,11.0,12.5,16.0
12,1300,100,14.107680962081059,16.45509638212708,0.798594393870266,10,7.64,5.95,54,100,4.5,7.0,8.0,11.5,16.0,9.0,9.0,11.0,12.5,16.0
13,1400,100,14.107680962081059,16.403955188034047,0.8367409515624245,10,7.94,6.565789473684211,55,100,4.5,6.0,8.5,11.5,16.0,9.0,9.0,11.0,12.5,16.0
14,1500,100,14.107680962081059,16.393326391351554,0.8199215412606334,10,7.8,5.786842105263158,57,100,4.0,6.5,8.0,11.5,16.0,9.0,9.0,11.0,12.5,16.0
15,1600,100,14.107680962081059,16.238529455825766,0.808395958778818,10,7.91,6.228947368421053,59,100,3.5,6.5,7.5,11.5,16.0,9.0,9.0,11.0,12.5,16.0
16,1700,100,14.107680962081059,16.037979802151877,0.7715299028846807,10,8.54,6.53421052631579,53,100,4.5,6.5,7.5,11.0,16.0,9.0,9.0,11.0,12.5,16.0
17,1800,100,14.107680962081059,15.939261154172899,0.7031512064950924,10,8.72,6.355263157894737,57,100,4.5,6.5,7.5,11.0,16.0,9.0,9.0,11.0,12.5,16.0
18,1900,100,14.079075450674063,15.982649777653439,0.7153467397762895,10,8.38,5.613157894736842,56,100,5.0,6.5,8.0,11.5,15.5,9.0,9.5,11.5,13.0,15.5
19,2000,100,13.822611077089286,15.949716327131593,0.764732616902908,10,8.36,6.426315789473684,60,100,5.0,7.0,7.0,11.5,15.5,9.0,10.0,11.5,12.0,15.5
20,2100,100,13.822611077089286,16.074510300390205,0.7214444219065375,10,8.32,6.33421052631579,63,100,5.0,6.5,7.0,11.0,15.5,9.0,10.0,11.5,12.0,15.5
21,2200,100,13.822611077089286,16.031373330754207,0.6683558585046266,10,8.33,5.155263157894737,56,100,5.0,7.0,6.0,11.0,15.5,9.0,10.0,11.5,12.0,15.5
22,2300,100,13.822611077089286,16.082401520945563,0.7682824276414596,10,8.44,6.402631578947369,57,100,5.0,7.0,7.0,11.5,15.5,9.0,10.0,11.5,12.0,15.5
23,2400,100,13.822611077089286,16.03354548128779,0.7703248998896431,10,8.31,6.447368421052632,56,100,5.0,6.5,7.5,11.0,15.5,9.0,10.0,11.5,12.0,15.5
24,2500,100,13.822611077089286,16.119047250502852,0.8214226303704453,10,8.35,6.692105263157894,59,100,4.5,7.5,6.5,11.5,15.5,9.0,10.0,11.5,12.0,15.5
25,2600,100,13.822611077089286,15.987632976690358,0.7844474495275637,10,8.39,5.936842105263158,58,100,5.0,7.0,8.5,11.5,15.5,9.0,10.0,11.5,12.0,15.5
26,2700,100,13.822611077089286,15.843232371117226,0.7711756798332244,10,8.49,5.810526315789474,57,100,5.0,7.0,9.0,11.0,15.5,9.0,10.0,11.5,12.0,15.5
27,2800,100,13.822611077089286,15.885480680402043,0.8014092758364408,10,8.23,5.671052631578948,58,100,5.0,6.5,8.0,11.0,15.0,9.0,10.0,11.5,12.0,15.5
28,2900,100,13.822611077089286,15.74521053934651,0.7893950714802982,10,8.36,5.242105263157895,58,100,5.0,7.0,8.5,11.5,15.5,9.0,10.0,11.5,12.0,15.5
29,3000,100,13.822611077089286,15.940333425284093,0.7982543181066917,10,8.49,5.45,58,100,5.0,7.0,8.5,12.0,15.0,9.0,10.0,11.5,12.0,15.5
