generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.633959855479073,18.004807270841326,1.3218792926373029,8,10.5,10.436842105263159,,,4.0,6.5,9.0,11.5,16.5,5.5,9.0,11.0,11.5,19.0
1,200,100,14.997057550292606,17.997291947131696,1.4419996977592733,9,11.16,10.044736842105262,,,4.0,6.5,9.0,12.0,16.0,9.0,8.0,10.5,13.0,17.5
2,300,100,14.997057550292606,18.457360021636827,1.4795495508763428,9,11.33,11.205263157894738,,,3.5,6.0,8.5,12.0,18.0,9.0,8.0,10.5,13.0,17.5
3,400,100,14.997057550292606,18.148309819015196,1.3365404343393856,9,11.8,12.957894736842105,,,3.0,6.5,9.5,13.0,17.0,9.0,8.0,10.5,13.0,17.5
4,500,100,14.997057550292606,18.16377588127899,1.5630702984719633,9,12.6,11.210526315789474,,,3.5,6.5,9.5,13.0,16.0,9.0,8.0,10.5,13.0,17.5
5,600,100,14.997057550292606,18.046641793722323,1.4155888286483775,9,11.96,11.052631578947368,,,3.0,6.5,9.0,12.5,17.5,9.0,8.0,10.5,13.0,17.5
6,700,100,14.997057550292606,18.01841988658233,1.3125963578475712,9,11.45,10.634210526315789,,,4.0,6.0,8.5,10.0,15.5,9.0,8.0,10.5,13.0,17.5
7,800,100,14.838181191654582,18.14229525674336,1.4828015793630056,11,11.17,10.678947368421053,,,3.5,6.0,8.0,11.5,16.5,9.5,10.5,10.5,14.0,16.5
8,900,100,14.838181191654582,18.264188611097783,1.3794234510847232,11,10.29,12.455263157894738,,,3.5,6.5,9.0,11.5,15.5,9.5,10.5,10.5,14.0,16.5
9,1000,100,14.838181191654582,17.91247172030269,1.3491966748439717,11,11.17,12.673684210526316,,,3.5,6.5,8.0,11.5,14.5,9.5,10.5,10.5,14.0,16.5
10,1100,100,14.838181191654582,18.01177792327765,1.431867616264185,11,11.82,11.663157894736843,,,3.5,6.0,8.0,11.0,16.0,9.5,10.5,10.5,14.0,16.5
11,1200,100,14.838181191654582,18.242443423091203,1.4462305299687586,11,12.79,11.744736842105263,,,3.0,6.0,9.5,12.0,16.5,9.5,10.5,10.5,14.0,16.5
12,1300,100,14.838181191654582,18.29882181189904,1.360429963999881,11,12.14,12.56842105263158,,,4.0,6.5,9.5,11.5,16.0,9.5,10.5,10.5,14.0,16.5
