generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.577902338672773,18.069607201172545,1.311905913961169,13,11.52,12.105263157894736,,,4.0,6.0,9.5,11.5,16.0,12.0,11.5,10.0,15.5,16.5
1,200,100,15.330375285612675,18.140367346400918,1.470857870102653,10,11.48,10.55,,,3.0,6.5,8.5,13.0,16.5,7.5,8.0,8.5,14.0,18.0
2,300,100,15.016620625799671,17.792373673844168,1.4460192383838872,10,11.09,11.50263157894737,,,4.0,6.0,9.5,13.0,16.5,8.5,9.0,12.0,14.0,16.5
3,400,100,15.016620625799671,18.152636287694904,1.4268672606445294,10,10.94,11.363157894736842,,,2.0,6.5,9.5,12.5,16.0,8.5,9.0,12.0,14.0,16.5
4,500,100,15.016620625799671,18.2372008384202,1.5071274085565456,10,11.62,11.352631578947369,,,3.5,5.0,8.5,12.0,16.5,8.5,9.0,12.0,14.0,16.5
5,600,100,15.016620625799671,18.257323527878842,1.366213307461536,10,12.64,13.286842105263158,,,3.5,7.0,9.0,12.5,17.0,8.5,9.0,12.0,14.0,16.5
6,700,100,14.93238075793812,18.0143380485613,1.1688047996494062,13,10.93,11.057894736842105,,,3.0,6.5,8.0,12.5,16.0,10.0,10.5,12.5,13.5,16.5
7,800,100,14.93238075793812,18.144045460779537,1.4365295641081783,13,12.06,12.852631578947369,,,3.5,6.0,9.5,12.5,16.0,10.0,10.5,12.5,13.5,16.5
8,900,100,14.93238075793812,18.246263975241302,1.5983014151089383,13,11.76,12.678947368421053,,,4.0,7.0,9.5,11.0,16.5,10.0,10.5,12.5,13.5,16.5
9,1000,100,14.93238075793812,18.12344711433299,1.277484747753366,13,10.61,11.1,,,3.5,5.0,10.0,10.5,17.5,10.0,10.5,12.5,13.5,16.5
10,1100,100,14.93238075793812,18.062436589083752,1.4279746722702966,13,10.28,11.06842105263158,,,3.0,7.5,9.0,11.5,15.0,10.0,10.5,12.5,13.5,16.5
11,1200,100,14.93238075793812,17.967170027079934,1.7871842587507327,13,11.62,10.892105263157895,,,4.0,5.5,7.5,11.0,16.5,10.0,10.5,12.5,13.5,16.5
12,1300,100,14.93238075793812,18.257627333696238,1.493858014755309,13,12.17,12.426315789473684,,,3.0,7.0,9.5,12.5,15.5,10.0,10.5,12.5,13.5,16.5
13,1400,100,14.93238075793812,18.047362300227395,1.5201766049211072,13,10.77,11.473684210526315,,,3.5,7.0,9.0,13.0,16.5,10.0,10.5,12.5,13.5,16.5
14,1500,100,14.93238075793812,18.319841718504993,1.5264536713260062,13,12.71,14.034210526315789,,,2.5,6.5,9.0,11.5,15.5,10.0,10.5,12.5,13.5,16.5
15,1600,100,14.93238075793812,18.17886631849085,1.4763368037495652,13,12.21,10.607894736842105,,,3.5,6.0,8.0,12.0,16.0,10.0,10.5,12.5,13.5,16.5
16,1700,100,14.93238075793812,18.107387014362192,1.6019213705471445,13,12.09,11.93157894736842,,,3.5,7.0,9.0,11.0,14.0,10.0,10.5,12.5,13.5,16.5
17,1800,100,14.93238075793812,18.06979171097057,1.5314046020644738,13,11.09,10.660526315789474,,,3.0,6.5,9.0,11.0,16.5,10.0,10.5,12.5,13.5,16.5
18,1900,100,14.93238075793812,18.37395839494862,1.4649208891088374,13,11.99,13.086842105263157,,,4.0,5.5,8.5,12.5,15.5,10.0,10.5,12.5,13.5,16.5
19,2000,100,14.93238075793812,18.223445250441692,1.3326193143675946,13,11.46,12.076315789473684,,,3.0,6.5,8.5,12.0,18.0,10.0,10.5,12.5,13.5,16.5
20,2100,100,14.93238075793812,18.00893293679281,1.3988586983763067,13,12.17,11.76578947368421,,,3.5,5.5,9.0,12.0,15.0,10.0,10.5,12.5,13.5,16.5
21,2200,100,14.93238075793812,18.07484213677072,1.4268902191966732,13,12.04,11.042105263157895,,,3.5,6.0,8.5,12.5,17.0,10.0,10.5,12.5,13.5,16.5
22,2300,100,14.93238075793812,18.197856879590628,1.4630408582200878,13,11.69,12.08421052631579,,,3.0,6.5,9.0,12.5,17.0,10.0,10.5,12.5,13.5,16.5
23,2400,100,14.93238075793812,17.999561153926667,1.4803981474049657,13,11.49,13.157894736842104,,,3.5,7.0,8.5,13.5,15.5,10.0,10.5,12.5,13.5,16.5
24,2500,100,14.741653005427766,18.187674431919977,1.4972339855340588,12,11.82,11.592105263157896,,,4.0,5.5,8.5,11.5,15.5,11.0,9.5,12.0,11.5,17.0
25,2600,100,14.741653005427766,17.889496886188784,1.4391501128440296,12,10.57,11.66842105263158,,,3.0,6.0,9.0,12.5,16.5,11.0,9.5,12.0,11.5,17.0
26,2700,100,14.741653005427766,18.261455678061722,1.4969550554619049,12,10.56,10.194736842105263,,,2.5,6.0,9.0,11.5,16.5,11.0,9.5,12.0,11.5,17.0
27,2800,100,14.741653005427766,18.19537973359265,1.4754024069122065,12,11.81,10.289473684210526,,,3.5,5.5,8.5,12.0,15.5,11.0,9.5,12.0,11.5,17.0
28,2900,100,14.693737745050923,18.30362270285388,1.5908277733786538,14,11.69,12.75,,,3.5,7.0,10.0,13.0,15.0,11.5,11.5,12.5,15.0,15.0
29,3000,100,14.693737745050923,18.037558335018108,1.2740042256747126,14,12.09,10.534210526315789,,,4.0,6.5,9.0,11.5,16.0,11.5,11.5,12.5,15.0,15.0
30,3100,100,14.693737745050923,17.978738291970185,1.4649506445131844,14,11.39,10.736842105263158,,,3.5,5.5,8.0,11.0,16.5,11.5,11.5,12.5,15.0,15.0
31,3200,100,14.54093010681705,18.03536338118707,1.489366114326702,11,11.94,12.147368421052631,,,3.5,6.0,9.5,12.5,15.5,9.0,7.0,10.0,12.5,17.0
32,3300,100,14.54093010681705,18.088044670914943,1.3565553511351007,11,11.26,12.842105263157896,,,4.0,6.5,7.5,12.0,16.5,9.0,7.0,10.0,12.5,17.0
33,3400,100,14.54093010681705,18.46702583586556,1.6462721177258777,11,12.35,11.76578947368421,,,3.0,6.0,9.5,12.0,16.5,9.0,7.0,10.0,12.5,17.0
34,3500,100,14.54093010681705,18.07143325281857,1.3707305662472051,11,10.11,11.721052631578948,,,3.5,5.5,9.5,11.5,16.5,9.0,7.0,10.0,12.5,17.0
35,3600,100,14.54093010681705,17.815694489385777,1.4701358408005676,11,10.94,12.455263157894738,,,3.0,7.0,9.0,12.5,15.5,9.0,7.0,10.0,12.5,17.0
36,3700,100,14.54093010681705,18.232162508776195,1.416036136709797,11,11.16,11.913157894736843,,,3.5,7.0,9.0,11.5,16.5,9.0,7.0,10.0,12.5,17.0
37,3800,100,14.54093010681705,18.427506713074216,1.5832729990234349,11,13.17,12.186842105263159,,,3.5,6.5,8.0,12.5,17.0,9.0,7.0,10.0,12.5,17.0
38,3900,100,14.54093010681705,17.855549644775436,1.3718935813428599,11,11.16,9.592105263157896,,,3.5,6.5,8.5,11.5,15.5,9.0,7.0,10.0,12.5,17.0
39,4000,100,14.54093010681705,18.081102592637055,1.4299013298326042,11,11.69,12.134210526315789,,,3.5,6.0,9.0,11.5,16.0,9.0,7.0,10.0,12.5,17.0
40,4100,100,14.54093010681705,18.07970171674291,1.424114170090733,11,11.11,10.713157894736842,,,4.0,5.5,9.5,12.5,16.5,9.0,7.0,10.0,12.5,17.0
41,4200,100,14.54093010681705,17.952421313147575,1.3866880301142726,11,10.63,11.152631578947368,,,3.0,6.5,9.0,11.5,16.0,9.0,7.0,10.0,12.5,17.0
42,4300,100,14.54093010681705,18.08255349465464,1.3617628301217946,11,11.45,10.41578947368421,,,2.5,5.5,9.5,11.5,15.5,9.0,7.0,10.0,12.5,17.0
43,4400,100,14.54093010681705,18.178914463230434,1.4514168223863484,11,12.11,14.942105263157895,,,4.0,6.5,8.0,12.0,16.0,9.0,7.0,10.0,12.5,17.0
44,4500,100,14.54093010681705,17.968956333691587,1.5371218315407054,11,10.93,12.197368421052632,,,3.5,6.5,8.0,12.5,16.5,9.0,7.0,10.0,12.5,17.0
45,4600,100,14.54093010681705,18.0025958242541,1.511681763412259,11,11.49,13.571052631578947,,,2.0,5.0,9.0,12.5,17.0,9.0,7.0,10.0,12.5,17.0
46,4700,100,14.54093010681705,18.46256141858983,1.6322232603582023,11,12.03,11.739473684210527,,,4.0,5.0,10.0,12.0,16.5,9.0,7.0,10.0,12.5,17.0
47,4800,100,14.54093010681705,17.99615009672003,1.440313874015029,11,12.05,13.131578947368421,,,2.5,7.5,8.5,13.0,17.0,9.0,7.0,10.0,12.5,17.0
48,4900,100,14.54093010681705,18.125867878902987,1.324762374318376,11,12.86,13.273684210526316,,,3.0,6.5,8.0,12.5,16.0,9.0,7.0,10.0,12.5,17.0
49,5000,100,14.54093010681705,18.21821734051255,1.27713714396522,11,11.14,11.392105263157895,,,4.0,5.5,9.0,13.0,16.5,9.0,7.0,10.0,12.5,17.0
