generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.633959855479073,18.004807270841326,1.3218792926373029,8,10.5,10.436842105263159,,,4.0,6.5,9.0,11.5,16.5,5.5,9.0,11.0,11.5,19.0
1,200,100,15.347076812334269,16.138878638320293,0.5342492655953128,8,7.95,5.610526315789474,9,100,4.5,7.0,9.0,11.5,16.0,7.5,8.5,9.5,14.5,17.5
2,300,100,14.972458299147444,16.00949586547147,0.7001721579058163,10,7.11,2.4078947368421053,10,100,4.5,7.0,9.0,12.0,17.0,8.5,10.5,10.5,12.5,17.5
3,400,100,14.683281572999748,15.662265241390772,0.7166684567646057,10,8.14,3.8842105263157896,9,100,4.5,7.5,9.0,11.5,16.0,8.5,10.5,11.5,13.0,16.5
4,500,100,14.64575131106459,15.588816877934539,0.7623232559647578,10,8.57,3.7736842105263158,10,100,5.0,7.5,9.0,11.5,16.0,8.5,10.5,12.5,12.0,16.5
5,600,100,14.189974874213238,15.460921245586853,0.8269297397115976,11,8.78,3.721052631578947,8,100,4.5,7.5,9.0,11.0,15.5,9.5,11.0,12.5,12.5,15.5
6,700,100,14.08494332412792,15.130557419169282,0.8421719052998292,11,9.2,3.5078947368421054,9,100,4.5,8.0,9.5,11.5,15.0,9.5,11.0,12.0,12.5,15.5
7,800,100,14.077902338672773,14.90404435478919,0.6171966920714018,10,9.71,3.471052631578947,9,100,4.5,8.0,9.0,11.0,15.0,9.0,10.0,10.5,12.5,16.0
8,900,100,14.029822128134704,14.739416125488287,0.5931624217098255,10,9.68,2.8210526315789473,8,100,4.5,8.0,9.5,11.5,15.0,9.0,10.0,10.0,12.5,16.0
9,1000,100,13.953720459187963,14.831810028109619,0.8007506936060456,10,9.09,3.4,9,100,4.5,7.5,8.5,11.5,15.0,9.0,10.0,10.5,13.0,15.5
10,1100,100,13.858703314492288,14.838730138531123,0.7539697941646077,10,8.94,2.718421052631579,8,100,4.5,8.0,9.0,11.5,14.5,9.0,10.5,11.5,12.0,15.5
11,1200,100,13.858703314492288,14.653551901636286,0.6548977659156211,10,9.12,2.3710526315789475,8,100,4.5,7.5,8.5,11.5,15.0,9.0,10.5,11.5,12.0,15.5
12,1300,100,13.802172886644268,14.776112776367912,0.8366056756672711,10,8.84,2.8815789473684212,9,100,4.5,8.0,10.0,11.0,15.0,9.0,10.0,10.5,12.5,15.5
13,1400,100,13.802172886644268,14.677195406576407,0.7373298331811792,10,8.93,2.873684210526316,8,100,4.5,8.0,9.0,11.0,14.5,9.0,10.0,10.5,12.5,15.5
14,1500,100,13.802172886644268,14.64684826485638,0.6695305427116256,10,8.99,3.2289473684210526,10,100,4.5,7.5,9.0,11.5,15.0,9.0,10.0,10.5,12.5,15.5
15,1600,100,13.802172886644268,14.593951443110166,0.7300363031955727,10,8.98,2.4342105263157894,9,100,4.5,7.5,9.0,11.0,15.0,9.0,10.0,10.5,12.5,15.5
16,1700,100,13.802172886644268,14.75221418794309,0.8179783787194309,10,9.05,2.7736842105263158,8,100,4.5,7.5,9.0,11.5,15.0,9.0,10.0,10.5,12.5,15.5
17,1800,100,13.802172886644268,14.657674831088105,0.7500158103657159,10,9.08,3.723684210526316,8,100,4.5,7.5,9.0,11.5,14.5,9.0,10.0,10.5,12.5,15.5
18,1900,100,13.802172886644268,14.750472493906281,0.8384798926368736,10,8.73,2.418421052631579,8,100,4.5,7.5,9.0,11.5,14.5,9.0,10.0,10.5,12.5,15.5
19,2000,100,13.397366596101028,14.616609786743878,0.6812902639367532,11,9.07,3.042105263157895,9,100,4.5,7.5,9.0,11.5,14.5,10.0,10.0,10.5,12.0,15.0
20,2100,100,13.316590212458495,14.76428118941693,0.9674676852715363,11,9.0,3.4289473684210527,8,100,4.5,7.5,9.0,11.0,14.5,10.0,10.5,10.5,11.5,15.0
21,2200,100,13.316590212458495,14.330826891228247,0.9608231196573063,11,9.7,3.3710526315789475,10,100,5.5,7.5,8.5,10.5,14.5,10.0,10.5,10.5,11.5,15.0
22,2300,100,13.316590212458495,14.151263035822904,0.7057624571413306,11,9.98,3.168421052631579,9,100,5.5,8.0,9.0,10.5,14.5,10.0,10.5,10.5,11.5,15.0
23,2400,100,13.316590212458495,14.159289948666748,0.768649854732729,11,10.02,3.2026315789473685,9,100,5.5,7.5,9.0,10.5,15.0,10.0,10.5,10.5,11.5,15.0
24,2500,100,13.316590212458495,14.12871040791994,0.6128708336200518,11,10.06,2.626315789473684,11,100,5.5,8.0,9.0,10.5,15.0,10.0,10.5,10.5,11.5,15.0
25,2600,100,13.316590212458495,14.18837049911658,0.6888175773169876,11,10.04,3.1710526315789473,8,100,5.5,8.0,9.0,10.0,14.5,10.0,10.5,10.5,11.5,15.0
26,2700,100,12.991153452528778,14.21368048402354,0.7859472389136856,11,9.81,2.75,10,100,5.5,8.0,9.0,10.5,14.5,10.0,10.5,10.0,11.5,14.5
27,2800,100,12.991153452528778,13.970651234318236,0.6232341224100597,11,10.26,2.7157894736842105,7,100,5.5,8.0,9.0,10.5,14.0,10.0,10.5,10.0,11.5,14.5
28,2900,100,12.991153452528778,13.951102468549374,0.7412960139518713,11,10.02,3.539473684210526,11,100,5.5,7.0,9.0,11.0,14.0,10.0,10.5,10.0,11.5,14.5
