,best_fitness,best_fitness,best_size,best_size,mean_size,mean_size,diversity,diversity,closest_7,closest_7,closest_11,closest_11,closest_15,closest_15,closest_19,closest_19,closest_25,closest_25,distinct_parents_over_run,seeds
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,n
condition,,,,,,,,,,,,,,,,,,,,
tournament_k2,13.150733023944406,0.36226780113785434,12.2,1.7511900715418263,9.193000000000001,0.9915985971035751,5.727631578947369,0.9376624718146468,4.6,0.6146362971528592,6.6,0.31622776601683794,8.3,0.5868938953886335,11.55,0.4377975178854565,13.9,0.8432740427115678,56.645,10
lexicase,13.010377475116318,0.5401729099551608,12.8,1.7511900715418263,9.679,0.8924180634657725,7.627368421052632,1.1777165672230328,1.75,0.6346477588219923,3.7,0.8881941729649485,5.1,0.9660917830792959,8.15,1.4729034063523798,10.6,2.3546644016599148,8.826,10
tournament_k40,12.71901055362458,0.3967277406491165,12.7,0.9486832980505141,11.514,0.7413681047001328,3.0686842105263157,0.5409478503449843,5.8,1.0327955589886444,7.95,0.7619419633774975,9.1,0.6146362971528593,11.1,0.7745966692414832,13.0,0.5270462766947299,8.766,10
random,14.26620223265007,0.25922942138348,11.8,2.6583202716502514,11.251999999999999,0.415820474083067,11.736315789473684,0.9592888768648885,3.35,0.24152294576982394,6.3,0.8881941729649486,9.0,0.74535599249993,12.65,0.5296749527356901,16.05,0.9559753599799996,,10
