generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.588435821108957,18.267904373475947,1.5371634802246825,13,11.96,12.423684210526316,,,3.0,6.0,9.5,12.0,15.0,10.5,10.0,13.0,14.5,17.0
1,200,100,14.28806130178211,16.374281044476653,0.9329701756617635,13,11.05,9.25,9,100,4.5,6.0,8.0,11.0,15.5,10.5,9.5,12.5,13.0,15.5
2,300,100,13.724807680927192,15.628165716971017,0.9294638119573196,12,11.24,7.097368421052631,11,100,5.0,6.5,8.5,12.0,14.5,10.5,10.5,11.5,13.5,14.5
3,400,100,13.394427190999917,15.153163457005167,0.9552624878958006,14,11.3,5.678947368421053,8,100,5.0,7.0,9.0,12.0,13.0,11.5,11.5,12.5,13.5,13.5
4,500,100,13.394427190999917,14.910776310229728,1.1449505822081232,14,11.29,4.96578947368421,8,100,5.0,7.5,8.5,12.5,13.0,11.5,11.5,12.5,13.5,13.5
5,600,100,13.394427190999917,14.671733887377922,0.8987377874752975,14,12.12,4.934210526315789,9,100,6.0,7.5,9.5,12.5,13.0,11.5,11.5,12.5,13.5,13.5
6,700,100,13.200000000000001,14.936454302215955,1.2085652379728917,14,12.4,5.036842105263158,11,100,5.5,7.0,9.5,12.5,13.0,11.5,11.5,12.5,13.5,13.0
7,800,100,13.140175425099137,15.051270864105474,1.3108309535736329,13,12.46,6.684210526315789,7,104,6.0,8.0,9.0,12.5,12.5,11.0,11.0,11.5,12.5,14.0
8,900,100,13.140175425099137,14.594364719885503,1.0572248997891425,13,11.63,4.810526315789474,10,100,6.0,7.5,9.5,12.0,13.5,11.0,11.0,11.5,12.5,14.0
9,1000,100,13.140175425099137,14.617690938993698,0.9820727570313236,13,11.54,5.089473684210526,7,102,6.0,7.0,9.5,12.5,13.5,11.0,11.0,11.5,12.5,14.0
10,1100,100,13.140175425099137,14.814637045772443,1.2537661932130881,13,11.63,5.510526315789473,9,100,5.0,7.5,8.5,12.0,12.5,11.0,11.0,11.5,12.5,14.0
11,1200,100,13.112403840463596,14.438531061186668,0.8663784025194099,14,11.44,4.565789473684211,8,100,6.5,7.5,9.0,12.0,13.5,11.0,12.0,12.5,12.5,13.5
12,1300,100,13.112403840463596,14.478686935964916,1.013361546664479,14,12.04,5.355263157894737,10,100,6.0,7.0,8.5,12.0,12.5,11.0,12.0,12.5,12.5,13.5
13,1400,100,13.112403840463596,14.292377087711232,0.9506306192355501,14,12.26,5.557894736842106,9,100,5.5,7.5,9.0,12.0,13.0,11.0,12.0,12.5,12.5,13.5
14,1500,100,13.112403840463596,14.575782684612225,1.1666501867037449,14,12.22,5.113157894736842,8,102,6.0,7.0,9.0,12.0,12.5,11.0,12.0,12.5,12.5,13.5
