generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.5,18.222908417316386,1.295030539507479,14,11.6,12.557894736842105,,,3.0,6.0,9.0,12.5,16.0,12.0,11.0,15.0,13.0,16.5
1,200,100,15.077154105707724,16.421591342641,0.9174588799553914,13,10.97,7.692105263157894,8,100,4.5,7.0,9.0,12.0,14.0,11.0,10.5,14.0,12.5,16.5
2,300,100,14.31069386451104,16.163768973644174,0.9095709430667983,11,10.19,6.46578947368421,9,100,4.5,6.0,9.0,12.0,15.5,9.0,9.0,10.5,12.5,16.5
3,400,100,14.161706725018234,15.925363762766914,1.0962526719126442,11,9.15,6.705263157894737,10,100,4.5,7.0,9.0,12.0,15.5,9.0,9.5,11.0,13.5,15.5
4,500,100,13.923538406167134,15.838285621822132,1.183629569909757,12,9.46,5.265789473684211,9,100,4.0,7.0,8.5,12.5,15.0,10.0,10.5,11.0,13.5,15.0
5,600,100,13.923538406167134,15.580805976271002,1.164939607394627,12,10.23,6.431578947368421,9,100,4.5,7.0,8.5,12.5,15.0,10.0,10.5,11.0,13.5,15.0
6,700,100,13.923538406167134,15.327492713924448,1.0839038527402185,12,10.39,6.157894736842105,7,100,4.5,6.5,10.0,12.5,14.5,10.0,10.5,11.0,13.5,15.0
7,800,100,13.923538406167134,15.393306344689035,1.0212502623480055,12,10.53,4.8,9,100,4.5,6.5,9.5,13.0,15.0,10.0,10.5,11.0,13.5,15.0
8,900,100,13.923538406167134,15.473667577526829,1.2157549908434333,12,10.44,5.102631578947369,10,100,4.5,6.5,9.0,13.0,14.5,10.0,10.5,11.0,13.5,15.0
9,1000,100,13.923538406167134,15.369917458927246,1.1756414454293818,12,10.49,5.347368421052631,10,100,4.0,6.5,9.5,13.0,14.5,10.0,10.5,11.0,13.5,15.0
10,1100,100,13.923538406167134,15.360605834452159,1.0298957031918492,12,10.67,4.88421052631579,9,100,4.5,7.0,9.5,13.0,15.0,10.0,10.5,11.0,13.5,15.0
11,1200,100,13.923538406167134,15.461039114626068,1.1836837014746875,12,10.51,5.489473684210527,9,100,3.5,6.5,9.5,13.0,14.5,10.0,10.5,11.0,13.5,15.0
12,1300,100,13.923538406167134,15.12093643324737,1.0095060622727758,12,10.59,5.197368421052632,8,100,4.5,6.5,9.5,13.0,15.0,10.0,10.5,11.0,13.5,15.0
13,1400,100,13.923538406167134,15.15095132381512,0.992497607927887,12,10.85,4.481578947368421,10,100,5.0,7.0,9.5,12.0,14.5,10.0,10.5,11.0,13.5,15.0
14,1500,100,13.64355957741627,15.444740466285372,1.259466244400167,12,10.22,5.878947368421053,8,100,4.0,7.5,9.0,12.5,14.5,10.0,11.0,11.0,12.5,15.0
15,1600,100,13.54899959967968,15.082852447986209,1.1838277835301452,14,10.87,6.002631578947368,7,102,3.5,6.5,9.0,12.0,14.0,11.0,11.0,12.0,13.5,14.0
16,1700,100,13.54899959967968,14.983100240909712,1.1920714918059305,14,11.45,5.6,8,100,3.5,7.0,9.5,12.0,14.0,11.0,11.0,12.0,13.5,14.0
17,1800,100,13.54899959967968,15.049863718540363,1.280746415081122,14,11.76,5.815789473684211,11,104,5.0,7.0,9.0,12.0,14.0,11.0,11.0,12.0,13.5,14.0
18,1900,100,13.508304597359459,14.971280277328587,1.1213259485546336,14,11.59,4.981578947368421,9,102,4.5,7.0,9.0,12.0,13.5,11.0,11.5,12.0,12.5,14.5
19,2000,100,13.2295630140987,15.330396187522839,1.5444912410269351,14,11.34,7.831578947368421,7,106,3.5,7.5,9.5,12.5,13.0,11.0,11.5,12.0,12.5,14.0
20,2100,100,13.2295630140987,15.135197016091306,1.4155580395396419,14,12.07,6.936842105263158,9,104,3.0,7.0,9.5,12.0,13.5,11.0,11.5,12.0,12.5,14.0
21,2200,100,13.2295630140987,14.875199045862889,1.2775984466316002,14,11.9,7.4,10,102,3.5,7.5,9.5,12.0,13.5,11.0,11.5,12.0,12.5,14.0
22,2300,100,13.2295630140987,15.019402702140669,1.3410709520126012,14,11.55,7.094736842105263,9,102,3.5,7.5,9.5,12.0,14.0,11.0,11.5,12.0,12.5,14.0
23,2400,100,13.22736184954957,15.125972448160603,1.475294879395531,14,10.91,5.989473684210527,8,104,3.5,7.5,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
24,2500,100,13.22736184954957,14.910385963884583,1.2403831626589898,14,12.0,4.936842105263158,9,102,3.5,7.0,9.5,11.0,13.5,11.0,11.5,12.5,13.0,13.5
25,2600,100,13.22736184954957,14.697872238625475,1.2165872850318658,14,12.27,5.83421052631579,8,102,4.0,7.5,9.0,11.5,13.0,11.0,11.5,12.5,13.0,13.5
26,2700,100,13.22736184954957,14.892372939073717,1.3688595580096752,14,11.73,5.707894736842105,8,106,3.5,7.5,9.5,11.5,13.0,11.0,11.5,12.5,13.0,13.5
27,2800,100,13.22736184954957,14.80341551675428,1.3201200418808245,14,11.73,5.931578947368421,11,104,3.5,7.5,9.5,11.5,13.0,11.0,11.5,12.5,13.0,13.5
28,2900,100,13.22736184954957,14.812549997097278,1.2741674308272934,14,11.83,6.173684210526316,9,104,3.5,7.5,9.0,11.5,12.5,11.0,11.5,12.5,13.0,13.5
29,3000,100,13.22736184954957,14.679787740836144,1.2494472886486814,14,12.39,5.471052631578948,8,102,3.5,7.5,9.0,12.0,12.5,11.0,11.5,12.5,13.0,13.5
30,3100,100,13.22736184954957,14.866316446485826,1.2298090955404961,14,11.69,5.428947368421053,8,106,3.5,7.5,9.5,12.0,13.0,11.0,11.5,12.5,13.0,13.5
31,3200,100,13.22736184954957,14.833225172536638,1.1698562017150445,14,11.59,5.844736842105263,9,102,3.5,7.0,10.0,12.0,13.5,11.0,11.5,12.5,13.0,13.5
32,3300,100,13.22736184954957,14.789936569252202,1.2536358957733964,14,12.0,6.389473684210526,10,104,3.5,7.5,9.5,12.0,13.5,11.0,11.5,12.5,13.0,13.5
33,3400,100,13.22736184954957,14.936666092110372,1.3998689683283803,14,11.73,4.686842105263158,7,102,3.5,7.5,9.5,11.5,13.0,11.0,11.5,12.5,13.0,13.5
34,3500,100,13.22736184954957,14.728564905784426,1.3327322819226668,14,12.51,6.676315789473684,8,106,4.5,7.5,9.5,12.0,13.0,11.0,11.5,12.5,13.0,13.5
35,3600,100,13.22736184954957,14.891848251947415,1.3343396372119272,14,11.84,6.942105263157894,8,104,3.0,7.5,9.5,12.0,13.0,11.0,11.5,12.5,13.0,13.5
36,3700,100,13.22736184954957,14.934708141419168,1.3399991109607523,14,11.48,6.544736842105263,10,104,3.0,8.0,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
37,3800,100,13.22736184954957,14.991366583776585,1.3212327094047354,14,11.76,5.71578947368421,8,104,4.0,7.5,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
38,3900,100,13.22736184954957,14.980217557329446,1.4123135671505602,14,11.41,6.144736842105263,9,106,3.0,7.5,9.5,11.5,13.0,11.0,11.5,12.5,13.0,13.5
39,4000,100,13.22736184954957,15.12369521083829,1.2393682491843354,14,11.73,5.897368421052631,9,102,3.5,6.5,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
40,4100,100,13.22736184954957,14.818700531910743,1.251116135090139,14,11.9,6.2105263157894735,8,104,3.5,7.5,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
41,4200,100,13.22736184954957,14.926342469697447,1.3219770023220663,14,11.61,5.836842105263158,8,104,3.5,7.5,9.5,11.5,13.0,11.0,11.5,12.5,13.0,13.5
42,4300,100,13.22736184954957,14.980676573337194,1.3843081060729414,14,11.64,6.310526315789474,11,102,3.5,7.0,9.0,12.0,13.0,11.0,11.5,12.5,13.0,13.5
43,4400,100,13.22736184954957,14.907420463901003,1.3806049604630033,14,11.85,5.118421052631579,9,104,3.5,7.0,9.0,12.0,13.5,11.0,11.5,12.5,13.0,13.5
44,4500,100,13.22736184954957,14.882414116840618,1.3503629202978966,14,11.6,5.6947368421052635,10,104,3.5,7.5,9.5,11.5,13.5,11.0,11.5,12.5,13.0,13.5
45,4600,100,13.22736184954957,14.835864918164258,1.3295735308080183,14,11.65,5.276315789473684,9,102,3.5,7.5,10.5,12.0,13.5,11.0,11.5,12.5,13.0,13.5
