generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,14.714674215792776,17.977372810803452,1.5596444294435243,9,11.62,12.95,,,3.5,6.0,8.5,12.5,16.5,8.5,9.0,9.0,12.5,17.5
1,200,100,14.434192325759245,15.843125223444074,0.7161412835597681,9,8.91,5.721052631578948,8,100,4.0,7.0,8.0,12.0,15.5,8.5,9.0,9.0,12.5,17.0
2,300,100,13.845207879911715,15.230197561541207,0.6131990051573939,11,8.48,4.186842105263158,7,100,5.5,7.5,8.0,11.0,15.5,9.5,9.0,11.0,12.5,15.5
3,400,100,13.845207879911715,15.04804863850417,0.7055035066556743,11,9.28,4.526315789473684,9,100,5.5,7.5,9.0,11.0,15.5,9.5,9.0,11.0,12.5,15.5
4,500,100,13.845207879911715,14.899635779633183,0.7417357141024173,11,9.94,4.121052631578947,9,100,5.5,7.0,9.0,11.5,15.0,9.5,9.0,11.0,12.5,15.5
5,600,100,13.822611077089286,14.866575298122719,0.7984555336946976,11,9.66,4.244736842105263,8,100,5.5,7.5,9.0,11.5,14.5,9.5,9.0,11.5,13.0,15.0
6,700,100,13.732050807568877,14.784818458846487,0.7851448771379159,12,10.35,4.097368421052631,9,100,6.0,7.0,9.0,11.5,14.5,10.5,10.0,11.5,13.5,14.5
7,800,100,13.732050807568877,14.7549218695815,0.7783552903436061,12,10.32,4.257894736842105,9,100,5.0,7.0,9.0,12.0,13.5,10.5,10.0,11.5,13.5,14.5
8,900,100,13.573644135332772,14.574386989787198,0.6072372243836628,11,10.86,4.118421052631579,7,100,5.5,7.5,9.0,11.5,14.0,9.5,9.0,11.5,13.0,14.5
9,1000,100,13.427105745132007,14.698239097860375,0.8882564757551699,11,10.32,4.886842105263158,8,100,5.0,7.5,9.5,11.0,12.5,9.5,8.5,10.5,13.0,14.5
10,1100,100,13.292838827718413,14.347871506394078,0.6125257950999254,13,10.04,3.944736842105263,9,100,6.5,7.0,9.5,11.5,13.0,10.5,10.0,12.5,13.5,13.0
