selector,mean_distinct_parents,std_distinct_parents
lexicase,8.646666666666667,2.1327186614480795
tournament_k2,57.12,3.2453453848036986
tournament_k5,38.77333333333333,2.495720782103283
tournament_k10,26.06,2.2486440358580544
tournament_k15,19.293333333333333,1.820427300266494
tournament_k20,15.593333333333334,1.6697172082587983
tournament_k25,13.28,1.376565775156906
tournament_k30,11.193333333333333,1.2790447824668045
tournament_k40,8.713333333333333,0.9888489380194642
tournament_k50,6.8,0.9797958971132712
