generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.577902338672773,18.069607201172545,1.311905913961169,13,11.52,12.105263157894736,,,4.0,6.0,9.5,11.5,16.0,12.0,11.5,10.0,15.5,16.5
1,200,100,15.029822128134704,15.971267174544648,0.613875427309305,13,10.21,7.286842105263158,10,100,4.0,6.5,8.5,11.0,15.5,10.5,11.5,9.5,15.5,15.5
2,300,100,14.410844001658269,15.366133471571498,0.5410559727847658,13,10.61,6.542105263157895,8,100,4.0,7.0,8.0,11.0,14.5,10.5,11.5,9.0,14.5,15.0
3,400,100,14.159126028197399,14.80782735961129,0.37461784823454963,13,12.07,3.392105263157895,7,100,6.0,8.5,7.5,13.0,14.0,10.5,11.5,9.5,14.5,14.5
4,500,100,14.073644135332772,14.564076034133334,0.3729686967738735,12,12.36,2.4473684210526314,8,100,6.0,8.5,8.0,13.0,14.0,10.5,10.5,10.0,14.0,15.0
5,600,100,13.88494332412792,14.569634585019582,0.38801759456452417,12,11.14,3.2447368421052634,9,100,5.5,7.5,7.5,12.5,14.0,10.5,11.0,9.5,14.0,14.5
6,700,100,13.88494332412792,14.374466859718959,0.3739672012878686,12,11.13,3.2289473684210526,9,100,7.0,7.5,7.5,12.5,14.0,10.5,11.0,9.5,14.0,14.5
7,800,100,13.833907960581373,14.407470350310167,0.35721187992530246,12,10.96,2.8473684210526318,8,100,6.5,7.5,7.5,12.5,14.0,10.5,10.5,10.0,14.0,14.5
8,900,100,13.493737745050923,14.408157857798397,0.43749379614179423,12,11.1,2.986842105263158,9,100,6.5,7.5,7.5,12.5,14.0,10.5,11.0,10.5,13.0,14.5
9,1000,100,13.430950643030009,14.259508501592773,0.4832764408696561,12,11.05,4.060526315789474,9,100,6.5,7.5,7.5,11.5,14.0,10.5,11.0,10.0,13.5,14.0
10,1100,100,13.235270009440733,14.129519970416332,0.49192215330413214,12,11.1,2.8157894736842106,7,100,6.0,8.0,8.5,11.5,14.0,10.5,11.0,10.5,13.0,14.0
11,1200,100,13.235270009440733,14.0556623705484,0.5557491199133281,12,10.97,2.805263157894737,10,100,6.5,8.0,8.5,12.0,13.0,10.5,11.0,10.5,13.0,14.0
12,1300,100,13.235270009440733,13.936124588717512,0.4901950537222992,12,11.19,2.4947368421052634,11,100,6.0,8.0,8.5,12.0,13.5,10.5,11.0,10.5,13.0,14.0
13,1400,100,13.235270009440733,13.973421858436526,0.4191307296386525,12,11.14,2.918421052631579,9,100,6.5,8.0,8.5,11.5,14.0,10.5,11.0,10.5,13.0,14.0
14,1500,100,13.235270009440733,13.981940819732545,0.5591139163901271,12,11.12,3.2605263157894737,7,100,6.5,8.0,8.0,11.5,14.0,10.5,11.0,10.5,13.0,14.0
15,1600,100,13.20332963783729,13.905192334201594,0.5131962344588852,12,11.12,2.3526315789473684,8,100,6.0,8.0,8.5,11.5,13.5,10.5,11.0,10.0,13.5,13.5
16,1700,100,13.20332963783729,14.006152609752315,0.5734196610884557,12,10.93,3.3842105263157896,11,100,6.5,8.0,8.0,11.5,13.0,10.5,11.0,10.0,13.5,13.5
17,1800,100,13.20332963783729,13.905641470192302,0.5080159126578145,12,11.09,2.5657894736842106,9,100,6.5,8.0,8.0,12.0,13.5,10.5,11.0,10.0,13.5,13.5
18,1900,100,13.112403840463596,13.920512800527375,0.5274889442350141,13,11.1,2.610526315789474,7,100,6.5,8.5,8.0,12.0,13.5,11.5,12.0,11.5,13.0,13.5
19,2000,100,13.112403840463596,13.772842105109184,0.41760762148197234,13,11.77,3.0763157894736843,9,100,6.5,8.5,8.5,12.0,12.5,11.5,12.0,11.5,13.0,13.5
20,2100,100,13.112403840463596,13.95904543806932,0.54171132842384,13,11.6,3.471052631578947,9,100,6.5,8.5,8.0,11.5,13.0,11.5,12.0,11.5,13.0,13.5
21,2200,100,13.112403840463596,13.865354938190235,0.5565613924854854,13,11.83,2.6842105263157894,7,100,6.5,9.0,9.0,11.5,13.5,11.5,12.0,11.5,13.0,13.5
22,2300,100,13.112403840463596,13.80034243665445,0.5044733183606184,13,12.24,2.357894736842105,10,100,6.5,9.0,8.5,12.0,13.0,11.5,12.0,11.5,13.0,13.5
23,2400,100,13.112403840463596,13.92081005146556,0.677756039887743,13,11.65,3.344736842105263,10,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
24,2500,100,13.112403840463596,14.089122278159769,0.7333811921167501,13,11.51,3.7289473684210526,9,100,6.5,8.0,8.0,11.5,13.5,11.5,12.0,11.5,13.0,13.5
25,2600,100,13.112403840463596,14.045948936760047,0.6715984801702174,13,11.69,3.2526315789473683,10,100,6.5,8.5,8.5,12.0,13.5,11.5,12.0,11.5,13.0,13.5
26,2700,100,13.112403840463596,13.987507300868266,0.6169151177952019,13,11.68,3.3815789473684212,10,100,6.0,9.0,8.0,11.5,13.5,11.5,12.0,11.5,13.0,13.5
27,2800,100,13.112403840463596,13.895528785017394,0.617349384258481,13,12.06,3.0342105263157895,7,100,6.0,8.5,8.5,12.0,13.5,11.5,12.0,11.5,13.0,13.5
28,2900,100,13.112403840463596,13.845765184561333,0.48367857634923805,13,12.17,2.7263157894736842,10,100,6.5,8.0,8.5,11.5,13.5,11.5,12.0,11.5,13.0,13.5
29,3000,100,13.112403840463596,13.910177042360665,0.5848499029041228,13,11.66,2.718421052631579,11,100,6.5,8.5,8.5,12.0,13.0,11.5,12.0,11.5,13.0,13.5
30,3100,100,13.112403840463596,13.916420450604846,0.6689329609950354,13,12.08,3.2552631578947366,9,100,6.5,8.5,8.5,11.5,13.5,11.5,12.0,11.5,13.0,13.5
31,3200,100,13.112403840463596,13.867848704932038,0.49524114053140494,13,12.11,2.7657894736842104,9,100,6.5,8.5,8.5,12.0,13.0,11.5,12.0,11.5,13.0,13.5
32,3300,100,13.112403840463596,13.923960453252008,0.5939327077673311,13,11.94,2.6605263157894736,8,100,6.0,8.5,8.5,11.0,13.5,11.5,12.0,11.5,13.0,13.5
33,3400,100,13.112403840463596,13.846926610587452,0.5158445395278745,13,12.06,3.126315789473684,8,100,6.0,9.0,8.0,11.5,13.5,11.5,12.0,11.5,13.0,13.5
34,3500,100,13.112403840463596,13.941912302148218,0.6376670515647613,13,11.72,3.213157894736842,10,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
35,3600,100,13.112403840463596,13.906514667543401,0.6062427289159619,13,11.89,3.0342105263157895,9,100,6.0,8.5,8.5,11.0,13.0,11.5,12.0,11.5,13.0,13.5
36,3700,100,13.112403840463596,13.907251550234998,0.616976242466221,13,11.84,2.9526315789473685,9,100,6.5,8.5,8.5,12.0,13.0,11.5,12.0,11.5,13.0,13.5
37,3800,100,13.112403840463596,13.801456602482046,0.4767866297878741,13,12.26,2.9078947368421053,10,100,6.5,8.5,8.5,12.0,13.5,11.5,12.0,11.5,13.0,13.5
38,3900,100,13.112403840463596,13.874455274318231,0.6063638092376505,13,11.89,2.7973684210526315,11,100,6.5,8.0,8.0,11.5,13.5,11.5,12.0,11.5,13.0,13.5
39,4000,100,13.112403840463596,13.928480666802653,0.6800076769489416,13,11.73,2.5736842105263156,9,100,6.5,8.5,8.5,11.5,13.5,11.5,12.0,11.5,13.0,13.5
40,4100,100,13.112403840463596,13.811986826416243,0.5932922313792236,13,12.11,2.2710526315789474,13,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
41,4200,100,13.112403840463596,13.860155971139868,0.6082318521612049,13,11.93,3.1789473684210527,8,100,6.5,8.0,8.0,12.0,13.5,11.5,12.0,11.5,13.0,13.5
42,4300,100,13.112403840463596,13.942093418975164,0.6286325842025198,13,12.01,2.5157894736842104,7,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
43,4400,100,13.112403840463596,13.866330668727006,0.5717445158723216,13,12.09,2.9657894736842105,8,100,6.5,8.5,9.0,12.0,13.0,11.5,12.0,11.5,13.0,13.5
44,4500,100,13.112403840463596,13.867595836273546,0.5399696766906743,13,12.19,2.8236842105263156,9,100,6.5,8.5,8.5,12.0,13.0,11.5,12.0,11.5,13.0,13.5
45,4600,100,13.112403840463596,13.893089714356929,0.5982555598495721,13,12.04,3.2552631578947366,9,100,6.5,8.5,8.0,12.0,13.0,11.5,12.0,11.5,13.0,13.5
46,4700,100,13.112403840463596,13.94090457489102,0.6022002498209061,13,12.03,3.1710526315789473,9,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
47,4800,100,13.112403840463596,13.899210685983524,0.5967181237612381,13,11.88,2.8815789473684212,9,100,6.5,8.5,8.5,11.5,13.0,11.5,12.0,11.5,13.0,13.5
48,4900,100,13.112403840463596,13.840065994762018,0.4940932497647862,13,12.12,2.3657894736842104,12,100,6.5,8.5,8.0,11.5,13.0,11.5,12.0,11.5,13.0,13.5
49,5000,100,13.112403840463596,13.89784725688831,0.5211521955954725,13,11.84,3.0078947368421054,8,100,6.5,8.5,8.5,11.5,13.5,11.5,12.0,11.5,13.0,13.5
