generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,14.909447398198282,18.09696209707897,1.5928600739499816,9,11.19,11.031578947368422,,,2.5,7.0,8.0,12.5,15.0,6.5,8.5,10.5,13.5,17.0
1,200,100,14.909447398198282,17.24555382563092,0.9851929257965919,9,9.3,7.831578947368421,52,102,3.0,5.5,9.0,13.0,15.0,6.5,8.5,10.5,13.5,17.0
2,300,100,14.909447398198282,16.7832902866501,0.9117976796043347,9,8.91,6.734210526315789,59,100,4.0,6.5,9.0,11.0,15.5,6.5,8.5,10.5,13.5,17.0
3,400,100,14.909447398198282,16.799454734422504,0.9452819315307875,9,8.22,7.302631578947368,54,100,3.5,5.5,8.5,10.0,16.0,6.5,8.5,10.5,13.5,17.0
4,500,100,14.368438714135813,16.650940712105363,0.8246634022712678,15,8.14,6.771052631578947,58,100,4.0,5.5,8.0,11.5,15.0,12.0,10.5,12.5,14.0,15.0
5,600,100,14.368438714135813,16.44771952708562,0.7659641951870659,15,8.7,7.689473684210526,60,100,4.5,5.5,6.5,11.0,15.0,12.0,10.5,12.5,14.0,15.0
6,700,100,14.368438714135813,16.33642505993501,0.7783902659969264,15,8.8,7.413157894736842,53,100,5.0,5.0,6.5,10.0,15.0,12.0,10.5,12.5,14.0,15.0
7,800,100,14.307878402833891,16.29628657070661,0.71497460199992,12,8.88,7.313157894736842,56,100,5.0,6.0,8.0,11.0,15.0,10.5,11.5,11.5,12.5,16.0
8,900,100,14.307878402833891,16.16426577087809,0.7523454935730485,12,8.58,6.860526315789474,57,100,4.5,6.0,8.0,11.0,16.0,10.5,11.5,11.5,12.5,16.0
9,1000,100,14.307878402833891,16.13919579821744,0.7409932640155514,12,8.14,5.718421052631579,59,100,4.5,6.5,8.5,11.0,15.5,10.5,11.5,11.5,12.5,16.0
10,1100,100,14.307878402833891,16.225423969082634,0.6650788028749036,12,8.31,6.28421052631579,63,100,4.5,6.0,8.5,11.5,14.5,10.5,11.5,11.5,12.5,16.0
11,1200,100,14.305167809266791,16.370242282501493,0.6900977191741289,10,8.38,7.560526315789474,58,100,5.0,6.0,9.0,11.0,16.0,8.5,9.0,10.5,12.5,16.5
12,1300,100,14.305167809266791,16.405931051428528,0.6970859120899117,10,8.19,7.057894736842106,54,100,4.5,6.5,9.0,11.5,16.0,8.5,9.0,10.5,12.5,16.5
13,1400,100,14.12678510731274,16.29795149551685,0.7232922880238041,10,7.99,5.95,56,100,4.5,6.5,8.5,11.0,16.0,8.5,9.5,11.0,12.5,16.0
14,1500,100,14.12678510731274,16.42518338623128,0.7064566087053676,10,8.03,5.21578947368421,60,100,4.5,6.5,9.0,10.0,16.0,8.5,9.5,11.0,12.5,16.0
15,1600,100,14.12678510731274,16.407493108475546,0.800809235196965,10,7.79,5.976315789473684,54,100,4.0,6.0,9.0,10.0,16.0,8.5,9.5,11.0,12.5,16.0
16,1700,100,14.12678510731274,16.307031321591545,0.8691417597397951,10,7.97,7.144736842105263,63,100,4.0,5.5,9.0,11.0,16.0,8.5,9.5,11.0,12.5,16.0
17,1800,100,13.660107523773828,16.050163684681785,0.7728244771127156,12,8.21,5.897368421052631,55,100,4.5,7.0,9.5,11.0,15.0,10.0,10.0,11.5,12.5,15.0
18,1900,100,13.660107523773828,15.886861574052851,0.7626967033207424,12,8.65,6.660526315789474,56,100,5.5,6.0,8.5,10.0,15.0,10.0,10.0,11.5,12.5,15.0
19,2000,100,13.660107523773828,15.904264599191224,0.8110069809675297,12,8.76,5.265789473684211,57,100,5.0,6.5,9.0,11.0,15.0,10.0,10.0,11.5,12.5,15.0
20,2100,100,13.391153452528776,15.907227220921165,0.8510001658381846,12,8.33,6.007894736842105,55,100,4.5,6.5,8.5,10.5,14.5,10.0,10.0,11.5,12.5,14.5
