generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.222649545167231,18.25586574985166,1.4682964263848257,11,12.79,13.35,,,3.0,7.0,8.0,12.5,17.0,9.0,9.0,11.0,12.5,18.0
1,200,100,14.255294535724685,18.287949095254277,1.5886107876839137,14,12.24,11.194736842105263,,,4.0,6.5,9.0,13.0,14.0,11.5,12.0,10.5,15.0,14.0
2,300,100,14.255294535724685,18.214129135591428,1.4825506032474691,14,12.29,13.205263157894738,,,3.0,6.0,8.5,12.5,15.5,11.5,12.0,10.5,15.0,14.0
3,400,100,14.255294535724685,18.43138008484518,1.451998583933781,14,11.71,11.836842105263157,,,3.5,7.0,8.5,11.0,15.0,11.5,12.0,10.5,15.0,14.0
4,500,100,14.255294535724685,18.047644396735464,1.4927076616795134,14,11.86,9.439473684210526,,,3.5,6.5,8.0,12.0,16.5,11.5,12.0,10.5,15.0,14.0
5,600,100,14.255294535724685,18.353108441540485,1.3519764081113024,14,11.95,13.23421052631579,,,3.0,6.0,8.5,11.5,16.5,11.5,12.0,10.5,15.0,14.0
6,700,100,14.255294535724685,18.04034567796858,1.370255116845438,14,11.02,11.926315789473684,,,3.0,5.0,9.0,12.0,16.0,11.5,12.0,10.5,15.0,14.0
7,800,100,14.255294535724685,18.31913828870629,1.6780769377426406,14,11.6,11.542105263157895,,,3.5,7.5,9.5,11.5,16.0,11.5,12.0,10.5,15.0,14.0
8,900,100,14.255294535724685,18.026197337312166,1.3820267881212696,14,11.12,10.926315789473684,,,3.5,5.5,8.5,12.5,16.0,11.5,12.0,10.5,15.0,14.0
9,1000,100,14.255294535724685,18.366790117637947,1.4844457023514646,14,11.23,9.468421052631578,,,3.5,6.0,8.5,13.0,15.5,11.5,12.0,10.5,15.0,14.0
10,1100,100,14.255294535724685,18.057395852279072,1.522271071085907,14,10.42,11.56578947368421,,,3.0,6.5,8.5,12.5,16.5,11.5,12.0,10.5,15.0,14.0
11,1200,100,14.255294535724685,18.094237982966856,1.3762725599078036,14,11.5,12.857894736842105,,,3.0,7.5,9.5,12.5,15.5,11.5,12.0,10.5,15.0,14.0
12,1300,100,14.255294535724685,18.338039262514382,1.3891948265649476,14,12.04,10.952631578947368,,,2.5,7.0,10.0,13.0,16.0,11.5,12.0,10.5,15.0,14.0
13,1400,100,14.255294535724685,18.075842395556663,1.274711164867129,14,10.53,11.586842105263157,,,3.5,6.5,9.5,11.5,16.5,11.5,12.0,10.5,15.0,14.0
14,1500,100,14.255294535724685,18.156964694695013,1.4422486730567927,14,10.53,10.18421052631579,,,4.0,5.5,9.0,12.0,16.5,11.5,12.0,10.5,15.0,14.0
15,1600,100,14.255294535724685,18.07601683365407,1.4281335461318259,14,11.68,12.142105263157895,,,4.5,5.5,9.5,12.0,15.5,11.5,12.0,10.5,15.0,14.0
16,1700,100,14.255294535724685,18.43437646284671,1.4811166485584881,14,12.48,14.68421052631579,,,3.5,6.5,9.5,12.5,17.5,11.5,12.0,10.5,15.0,14.0
17,1800,100,14.255294535724685,18.48962687418084,1.5594630496062718,14,12.13,11.0,,,3.0,7.0,9.5,12.5,14.5,11.5,12.0,10.5,15.0,14.0
18,1900,100,14.255294535724685,18.29824653528875,1.4072724441719175,14,10.69,10.25263157894737,,,3.5,5.0,9.5,10.5,17.5,11.5,12.0,10.5,15.0,14.0
19,2000,100,14.255294535724685,18.19808453940256,1.4944097160981191,14,11.86,9.944736842105263,,,3.0,5.0,8.5,11.0,17.5,11.5,12.0,10.5,15.0,14.0
20,2100,100,14.255294535724685,17.95488546808434,1.476548364552788,14,11.59,12.186842105263159,,,4.0,6.0,10.0,11.5,16.0,11.5,12.0,10.5,15.0,14.0
21,2200,100,14.255294535724685,18.112189755180268,1.391800915325362,14,11.31,12.00263157894737,,,3.5,6.0,9.0,11.5,15.0,11.5,12.0,10.5,15.0,14.0
22,2300,100,14.255294535724685,18.21883103657991,1.4107642313357214,14,11.75,13.26842105263158,,,3.0,6.5,9.5,13.0,15.5,11.5,12.0,10.5,15.0,14.0
23,2400,100,14.255294535724685,18.25885678812927,1.5570918211131712,14,12.16,10.33421052631579,,,4.0,6.5,9.0,12.0,16.5,11.5,12.0,10.5,15.0,14.0
24,2500,100,14.255294535724685,18.10336708789828,1.5382895064690343,14,11.11,12.544736842105262,,,3.5,7.0,8.5,11.5,15.5,11.5,12.0,10.5,15.0,14.0
25,2600,100,14.255294535724685,18.229310954039473,1.3084904614020283,14,11.94,13.678947368421053,,,3.0,6.0,9.5,13.0,16.0,11.5,12.0,10.5,15.0,14.0
26,2700,100,14.255294535724685,18.266586880671284,1.4780549157006264,14,11.58,13.7,,,3.5,7.0,9.5,12.0,17.0,11.5,12.0,10.5,15.0,14.0
27,2800,100,14.255294535724685,18.082573853681737,1.3723367786769871,14,11.75,11.626315789473685,,,4.0,7.0,9.0,10.5,16.0,11.5,12.0,10.5,15.0,14.0
28,2900,100,14.255294535724685,18.085065516731312,1.4092202595939403,14,11.44,11.589473684210526,,,3.0,5.5,9.5,11.5,16.5,11.5,12.0,10.5,15.0,14.0
29,3000,100,14.255294535724685,18.29355520648612,1.5511456684718066,14,12.22,14.078947368421053,,,3.0,7.5,9.0,13.0,17.0,11.5,12.0,10.5,15.0,14.0
30,3100,100,14.255294535724685,18.270391047994192,1.2798866527983763,14,11.6,11.986842105263158,,,3.5,6.5,9.5,12.5,15.0,11.5,12.0,10.5,15.0,14.0
31,3200,100,14.255294535724685,18.282928351229636,1.610081710566538,14,12.18,11.263157894736842,,,4.0,7.0,8.0,13.5,16.0,11.5,12.0,10.5,15.0,14.0
32,3300,100,14.255294535724685,18.220077130948415,1.4965398627296,14,11.6,11.91578947368421,,,3.0,6.5,8.5,13.0,15.0,11.5,12.0,10.5,15.0,14.0
33,3400,100,14.255294535724685,18.472253879947342,1.6633342285249382,14,12.69,12.886842105263158,,,3.0,6.5,9.0,12.5,16.5,11.5,12.0,10.5,15.0,14.0
34,3500,100,14.255294535724685,18.060014542417363,1.6144649105115934,14,11.89,13.328947368421053,,,3.5,5.5,9.0,12.5,16.0,11.5,12.0,10.5,15.0,14.0
35,3600,100,14.255294535724685,17.860087113693098,1.3357996692972836,14,10.77,12.218421052631578,,,3.0,6.5,6.5,12.0,16.0,11.5,12.0,10.5,15.0,14.0
36,3700,100,14.255294535724685,18.170402907251997,1.4695217901471846,14,11.08,12.852631578947369,,,3.0,6.0,9.5,12.5,16.5,11.5,12.0,10.5,15.0,14.0
