generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,14.909447398198282,18.09696209707897,1.5928600739499816,9,11.19,11.031578947368422,,,2.5,7.0,8.0,12.5,15.0,6.5,8.5,10.5,13.5,17.0
1,200,100,14.270540018881466,16.00853363117666,0.7799871814503273,10,8.73,5.078947368421052,9,100,4.0,6.0,8.5,12.0,16.0,7.5,9.5,11.5,12.5,16.0
2,300,100,13.996150997149435,15.33084110792927,0.6942351402811486,11,8.8,4.771052631578947,8,100,5.0,6.0,9.5,12.0,15.5,8.5,9.5,11.0,12.0,16.0
3,400,100,13.700000000000001,14.986513055256111,0.6192094863014723,11,10.2,3.857894736842105,9,100,5.5,7.5,9.5,11.5,15.0,8.5,9.5,11.5,11.5,15.5
4,500,100,13.577154105707724,14.787641913676996,0.6888128157658908,11,10.19,3.6789473684210527,9,100,5.5,7.5,9.5,10.5,15.0,8.5,10.0,12.0,11.5,15.0
5,600,100,13.45870331449229,14.554513156883095,0.6103973711823314,11,10.18,2.681578947368421,9,100,6.0,7.5,9.0,10.0,15.0,8.5,10.0,11.5,11.5,15.0
6,700,100,13.45870331449229,14.564056145706843,0.776670383182762,11,10.27,4.052631578947368,10,100,5.5,7.5,8.5,10.5,15.0,8.5,10.0,11.5,11.5,15.0
7,800,100,13.45870331449229,14.62193768935728,0.7396710206974988,11,10.5,3.75,9,100,6.5,7.5,9.0,10.5,15.0,8.5,10.0,11.5,11.5,15.0
8,900,100,13.45870331449229,14.693141116309075,0.7726186687369484,11,9.88,3.710526315789474,7,100,6.0,7.0,10.0,10.5,15.0,8.5,10.0,11.5,11.5,15.0
9,1000,100,13.45870331449229,14.647753937160882,0.7391171350786215,11,10.41,4.602631578947369,8,100,5.5,8.0,9.0,10.0,14.5,8.5,10.0,11.5,11.5,15.0
10,1100,100,13.45870331449229,14.669753690603226,0.7551413051408101,11,10.27,4.005263157894737,9,100,5.5,7.0,9.0,10.0,15.0,8.5,10.0,11.5,11.5,15.0
11,1200,100,13.45870331449229,14.337494075552414,0.6067389854539841,11,10.18,3.181578947368421,11,100,6.0,7.0,10.0,10.0,14.5,8.5,10.0,11.5,11.5,15.0
12,1300,100,13.45870331449229,14.577590018611179,0.6389015766198065,11,10.01,3.4526315789473685,8,100,6.0,7.5,9.5,10.5,15.0,8.5,10.0,11.5,11.5,15.0
