generation,evaluations,population_size,best_fitness,mean_fitness,std_fitness,best_size,mean_size,diversity,distinct_parents,parent_picks,closest_7,closest_11,closest_15,closest_19,closest_25,best_dist_7,best_dist_11,best_dist_15,best_dist_19,best_dist_25
0,100,100,15.641311123146739,18.120017624935855,1.4097428600365611,14,10.2,10.763157894736842,,,3.5,6.5,9.0,11.5,17.5,10.5,11.5,14.0,12.5,17.5
1,200,100,15.641311123146739,18.0662215387968,1.2477834450146517,14,10.14,9.18157894736842,,,3.5,6.0,8.5,11.5,16.0,10.5,11.5,14.0,12.5,17.5
2,300,100,15.495451410656816,18.199685131140207,1.4540394600938944,9,10.76,10.521052631578947,,,3.0,7.0,9.0,13.5,17.0,9.0,9.5,11.0,13.5,18.0
3,400,100,15.495451410656816,18.060648571340842,1.4776108925698017,9,11.12,11.031578947368422,,,4.0,7.0,9.0,10.5,16.0,9.0,9.5,11.0,13.5,18.0
4,500,100,14.065941943351179,18.379806883048456,1.5847177320561787,10,12.47,13.76842105263158,,,3.5,6.5,9.5,11.5,15.5,7.5,9.0,10.5,11.5,16.5
5,600,100,14.065941943351179,17.99144570200622,1.4982233448448736,10,11.71,13.123684210526315,,,4.0,6.5,9.5,12.0,17.5,7.5,9.0,10.5,11.5,16.5
6,700,100,14.065941943351179,18.215348784431587,1.4936365073808995,10,10.27,8.655263157894737,,,3.0,6.5,8.5,12.0,16.0,7.5,9.0,10.5,11.5,16.5
7,800,100,14.065941943351179,18.42997544994798,1.5955975635132509,10,11.75,12.789473684210526,,,4.0,7.0,9.0,13.0,14.5,7.5,9.0,10.5,11.5,16.5
8,900,100,14.065941943351179,18.082208947103673,1.4158228435814024,10,10.93,12.189473684210526,,,3.0,7.0,9.5,12.5,17.0,7.5,9.0,10.5,11.5,16.5
9,1000,100,14.065941943351179,18.11489557410192,1.460047033526206,10,10.32,9.865789473684211,,,4.0,6.5,8.5,12.5,17.0,7.5,9.0,10.5,11.5,16.5
10,1100,100,14.065941943351179,18.19981766834831,1.4803908111015343,10,11.76,12.176315789473684,,,3.0,6.5,9.5,12.0,16.5,7.5,9.0,10.5,11.5,16.5
11,1200,100,14.065941943351179,18.108256616651193,1.5337715586018217,10,11.25,12.307894736842105,,,4.0,4.5,8.5,11.5,17.0,7.5,9.0,10.5,11.5,16.5
12,1300,100,14.065941943351179,18.30596901779284,1.304991997167621,10,11.59,12.205263157894738,,,4.0,6.5,9.5,12.5,16.5,7.5,9.0,10.5,11.5,16.5
13,1400,100,14.065941943351179,18.16190066378673,1.4853597051025915,10,11.6,10.45,,,3.5,6.0,8.5,10.0,16.0,7.5,9.0,10.5,11.5,16.5
14,1500,100,14.065941943351179,18.016315741378747,1.4344534446453745,10,11.57,13.894736842105264,,,4.5,6.0,9.5,12.5,15.5,7.5,9.0,10.5,11.5,16.5
15,1600,100,14.065941943351179,18.135776065405942,1.2815390287634054,10,11.59,10.778947368421052,,,3.5,5.0,9.0,12.5,14.5,7.5,9.0,10.5,11.5,16.5
16,1700,100,14.065941943351179,18.254154643639826,1.4936858411176321,10,11.79,9.773684210526316,,,3.5,6.5,9.0,12.0,16.0,7.5,9.0,10.5,11.5,16.5
17,1800,100,14.065941943351179,18.125729502505703,1.341780447242916,10,11.13,11.910526315789474,,,3.0,5.5,8.0,11.0,16.0,7.5,9.0,10.5,11.5,16.5
18,1900,100,14.065941943351179,18.191636235588163,1.442682706960528,10,11.19,12.034210526315789,,,3.0,5.5,8.5,13.0,16.5,7.5,9.0,10.5,11.5,16.5
